,State_FIPS_Code,Name,State_Abbreviation,Year,Annual_Federal_Minimum,Annual_State_Minimum,Annual_Federal_Average,Annual_State_Average,Annual_Federal_Maximum,Annual_State_Maximum
1624,32,Nevada,NV,1981,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1625,32,Nevada,NV,1982,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1626,32,Nevada,NV,1983,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1627,32,Nevada,NV,1984,3.35,3.3499999046325684,3.3499999999999983,3.3499999046325684,3.35,3.3499999046325684
1628,32,Nevada,NV,1985,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1629,32,Nevada,NV,1986,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1630,32,Nevada,NV,1987,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1631,32,Nevada,NV,1988,3.35,3.3499999046325684,3.3499999999999983,3.3499999046325684,3.35,3.3499999046325684
1632,32,Nevada,NV,1989,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1633,32,Nevada,NV,1990,3.35,3.3499999046325684,3.6890410958903854,3.6890411376953125,3.8000000000000003,3.799999952316284
1634,32,Nevada,NV,1991,3.8000000000000003,3.799999952316284,4.139041095890412,4.139040946960449,4.25,4.25
1635,32,Nevada,NV,1992,4.25,4.25,4.25,4.25,4.25,4.25
1636,32,Nevada,NV,1993,4.25,4.25,4.25,4.25,4.25,4.25
1637,32,Nevada,NV,1994,4.25,4.25,4.25,4.25,4.25,4.25
1638,32,Nevada,NV,1995,4.25,4.25,4.25,4.25,4.25,4.25
1639,32,Nevada,NV,1996,4.25,4.25,4.3756830601092895,4.375682830810547,4.75,4.75
1640,32,Nevada,NV,1997,4.75,4.75,4.883698630137017,4.883698463439941,5.15,5.150000095367432
1641,32,Nevada,NV,1998,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1642,32,Nevada,NV,1999,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1643,32,Nevada,NV,2000,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1644,32,Nevada,NV,2001,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1645,32,Nevada,NV,2002,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1646,32,Nevada,NV,2003,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1647,32,Nevada,NV,2004,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1648,32,Nevada,NV,2005,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1649,32,Nevada,NV,2006,5.15,5.150000095367432,5.150000000000033,5.24315071105957,5.15,6.150000095367432
1650,32,Nevada,NV,2007,5.15,6.150000095367432,5.4587671232876325,6.240739822387695,5.8500000000000005,6.329999923706055
1651,32,Nevada,NV,2008,5.8500000000000005,6.329999923706055,6.157923497267759,6.591420650482178,6.55,6.849999904632568
1652,32,Nevada,NV,2009,6.55,6.849999904632568,6.858767123287663,7.202876567840576,7.25,7.550000190734863
1653,32,Nevada,NV,2010,7.25,7.550000190734863,7.25,7.902876853942871,7.25,8.25
1654,32,Nevada,NV,2011,7.25,8.25,7.25,8.25,7.25,8.25
1655,32,Nevada,NV,2012,7.25,8.25,7.25,8.25,7.25,8.25
1656,32,Nevada,NV,2013,7.25,8.25,7.25,8.25,7.25,8.25
1657,32,Nevada,NV,2014,7.25,8.25,7.25,8.25,7.25,8.25
1658,32,Nevada,NV,2015,7.25,8.25,7.25,8.25,7.25,8.25
1659,32,Nevada,NV,2016,7.25,8.25,7.25,8.25,7.25,8.25
1660,32,Nevada,NV,2017,7.25,8.25,7.25,8.25,7.25,8.25
1661,32,Nevada,NV,2018,7.25,8.25,7.25,8.25,7.25,8.25
1662,32,Nevada,NV,2019,7.25,8.25,7.25,8.25,7.25,8.25
1663,32,Nevada,NV,2020,7.25,8.25,7.25,8.627049446105957,7.25,9.0
1664,32,Nevada,NV,2021,7.25,9.0,7.25,9.378082275390625,7.25,9.75
1665,32,Nevada,NV,2022,7.25,9.75,7.25,10.128082275390625,7.25,10.5
1666,36,New York,NY,1974,2.0,2.0,2.0,2.0,2.0,2.0
1667,36,New York,NY,1975,2.1,2.0999999046325684,2.100000000000014,2.0999999046325684,2.1,2.0999999046325684
